state,2004-01-01,2004-02-01,2004-03-01,2004-04-01,2004-05-01,2004-06-01,2004-07-01,2004-08-01,2004-09-01,2004-10-01,2004-11-01,2004-12-01,2005-01-01,2005-02-01,2005-03-01,2005-04-01,2005-05-01,2005-06-01,2005-07-01,2005-08-01,2005-09-01,2005-10-01,2005-11-01,2005-12-01,2006-01-01,2006-02-01,2006-03-01,2006-04-01,2006-05-01,2006-06-01,2006-07-01,2006-08-01,2006-09-01,2006-10-01,2006-11-01,2006-12-01,2007-01-01,2007-02-01,2007-03-01,2007-04-01,2007-05-01,2007-06-01,2007-07-01,2007-08-01,2007-09-01,2007-10-01,2007-11-01,2007-12-01,2008-01-01,2008-02-01,2008-03-01,2008-04-01,2008-05-01,2008-06-01,2008-07-01,2008-08-01,2008-09-01,2008-10-01,2008-11-01,2008-12-01,2009-01-01,2009-02-01,2009-03-01,2009-04-01,2009-05-01,2009-06-01,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01
US-AL,0,0,45,32,32,30,0,0,27,27,0,0,22,23,21,70,42,32,21,26,34,17,17,17,15,22,27,14,18,14,34,24,37,22,11,11,10,16,18,9,20,9,21,8,20,13,15,8,14,22,21,22,16,22,14,7,9,14,9,12,27,6,21,17,14,23,26,21,17,28,15,15,17,33,35,17,35,25,39,34,15,23,24,8,22,26,24,32,29,28,30,21,24,22,18,16,34,34,40,36,46,50,52,50,50,34,27,20,56,42,52,51,61,59,62,53,51,25,26,30,54,55,56,54,72,62,55,54,38,26,25,28,77,57,63,66,70,49,58,54,44,43,38,44,66,72,68,72,71,77,68,59,48,47,44,45,84,79,70,66,79,72,79,63,56,50,52,51,83,89,79,85,80,90,93,81,76,61,60,57,100,88,82,84,74,87,85,67,59,61,51
US-AK,100,49,0,0,46,48,0,91,0,0,0,38,0,0,30,0,0,0,0,0,0,25,26,25,21,0,20,0,21,0,0,19,0,17,18,0,16,0,0,29,14,0,15,13,14,25,18,12,22,11,19,15,50,24,23,11,15,9,21,17,13,30,9,18,25,17,10,14,22,13,18,30,12,24,24,35,9,30,8,31,19,15,17,15,23,17,24,25,22,38,15,19,15,10,26,13,22,32,34,35,17,32,47,27,35,21,24,19,38,37,45,49,44,39,46,41,29,32,32,43,42,30,53,46,39,51,38,34,28,34,56,17,55,57,42,50,60,40,50,27,47,33,30,31,60,53,50,57,65,33,44,61,33,28,30,34,56,56,37,64,50,50,52,61,42,38,44,46,79,49,69,67,60,63,74,51,34,73,58,55,83,69,68,65,59,49,45,49,38,39,47
US-AZ,17,11,14,10,14,19,14,17,13,8,9,10,7,18,12,13,6,12,20,5,10,10,15,13,14,10,9,15,26,19,10,18,6,17,17,12,9,11,11,13,19,16,10,9,10,15,9,14,20,11,13,12,17,16,11,14,13,17,9,11,21,19,28,15,23,24,19,22,17,12,17,19,23,23,28,25,22,23,27,24,22,23,18,19,23,25,22,29,28,26,32,27,24,28,19,22,30,40,35,36,40,43,46,42,42,32,26,31,46,48,47,45,54,60,56,46,39,35,33,32,53,51,56,52,50,58,54,42,40,36,34,36,59,56,61,58,65,64,56,64,53,46,49,47,67,59,70,69,80,71,62,60,55,47,42,43,70,69,67,72,72,79,70,66,60,51,48,49,77,77,76,83,86,90,96,79,70,61,56,63,86,79,100,81,78,87,76,72,64,66,57
US-AR,53,0,0,0,48,0,100,0,39,0,0,0,52,73,0,0,32,35,0,0,25,47,0,0,0,20,19,19,0,0,36,0,16,30,15,33,0,0,0,0,12,13,0,11,11,0,9,10,27,14,9,0,13,10,18,9,8,8,13,0,19,20,29,32,19,16,27,16,14,7,7,22,14,18,23,27,15,25,28,23,21,15,11,38,20,16,22,19,19,34,24,47,19,21,26,28,25,33,27,37,34,39,56,40,34,14,24,29,42,39,44,36,59,62,52,50,46,32,23,20,46,54,45,41,56,46,58,35,30,18,28,18,66,57,47,46,63,56,49,52,41,28,41,38,62,65,50,64,60,58,51,39,49,29,29,31,50,58,59,48,68,59,49,64,47,43,38,49,59,70,74,92,79,76,80,76,51,49,45,52,86,66,83,73,86,71,71,62,57,45,53
US-CA,17,15,14,17,18,21,16,16,23,14,12,12,17,16,14,19,17,17,19,15,17,14,14,13,16,19,16,19,18,17,18,17,17,18,15,13,18,13,18,18,20,18,16,17,14,16,12,14,16,17,17,19,20,16,18,16,15,16,14,13,17,19,20,23,19,18,18,18,21,18,17,15,18,20,21,23,22,20,19,19,19,16,13,12,29,30,29,35,33,32,34,32,28,30,23,24,35,39,41,45,44,48,49,46,46,40,31,31,45,49,54,57,53,55,54,50,48,41,37,33,52,51,55,58,54,53,53,49,45,42,37,34,52,53,56,60,58,56,58,59,53,50,45,44,62,69,71,77,73,68,64,60,56,53,45,46,62,64,66,73,77,74,77,73,62,62,55,60,75,82,78,88,85,87,91,82,71,66,57,61,82,79,100,86,80,81,81,80,70,72,65
US-CO,11,10,27,25,19,15,30,14,17,13,19,13,15,15,7,11,13,7,10,6,35,8,8,5,14,0,13,13,25,4,17,15,17,24,5,3,9,19,16,11,11,19,9,11,16,11,9,14,20,14,14,14,19,11,21,13,14,16,18,16,21,27,19,25,20,28,21,26,10,21,17,28,29,26,32,29,32,26,37,36,30,21,30,25,21,22,25,22,25,25,28,31,22,25,25,24,39,41,31,47,42,53,56,52,42,30,40,31,51,45,55,53,58,66,64,54,44,36,40,35,56,57,60,65,62,60,55,52,41,36,36,28,63,63,63,66,69,65,65,59,53,53,44,49,79,71,81,74,83,73,69,58,51,55,42,55,76,80,69,70,77,83,76,68,59,59,63,60,95,100,91,96,94,93,96,92,70,66,65,62,100,90,93,85,84,82,85,75,69,56,65
US-CT,15,0,39,0,0,27,14,0,16,12,13,22,15,10,8,10,17,21,14,36,15,7,7,7,6,13,8,6,24,21,10,16,8,11,6,13,5,12,16,10,9,14,15,15,9,9,9,11,11,11,8,15,17,16,16,21,17,6,14,10,15,24,19,20,22,25,30,14,24,22,19,13,29,37,20,25,22,36,22,28,20,14,12,14,25,25,28,20,24,38,34,33,21,20,20,19,31,36,41,35,47,44,60,48,31,28,27,21,37,53,48,53,58,58,59,59,41,36,29,26,48,57,64,51,45,51,65,57,36,33,35,32,64,58,59,65,68,68,70,80,53,46,36,53,79,84,75,81,85,84,74,67,49,43,42,52,80,70,72,68,88,75,73,67,54,49,50,53,80,88,90,84,91,86,94,87,63,65,58,61,92,87,100,82,86,77,81,69,60,63,59
US-DE,0,0,0,0,0,0,0,0,0,0,0,0,0,63,54,0,54,58,57,0,0,0,0,46,0,42,36,39,0,39,0,36,0,0,0,0,29,29,27,0,0,46,34,0,31,28,0,29,26,26,49,48,36,60,28,27,0,33,36,0,30,23,31,33,41,24,40,73,44,20,43,22,21,20,27,46,21,46,23,36,19,28,38,18,39,33,15,18,18,40,39,35,25,14,24,28,31,27,33,37,39,55,59,21,53,38,32,30,29,43,72,74,68,59,61,31,43,26,41,33,47,60,58,51,52,43,57,55,41,35,41,23,80,68,50,56,71,85,79,54,53,47,40,47,68,64,85,76,96,61,75,63,49,50,35,34,76,57,54,58,85,65,81,51,53,48,48,54,69,87,78,90,78,75,100,91,61,71,44,53,81,91,90,66,92,60,66,82,50,59,41
US-FL,15,7,19,16,13,10,20,18,20,12,9,11,16,15,7,8,12,7,15,10,13,16,7,15,10,12,17,10,14,13,18,16,15,13,13,12,13,12,13,18,18,14,21,22,26,17,23,17,24,16,17,16,19,21,21,27,21,21,16,19,21,21,25,21,25,26,28,27,32,26,23,21,25,29,25,23,26,25,29,28,29,25,20,17,32,29,28,25,27,32,36,45,41,32,25,22,35,38,32,35,44,47,62,57,54,41,32,29,47,51,45,43,46,49,62,68,57,46,40,36,51,54,57,52,54,54,58,68,57,53,42,37,66,58,63,59,61,64,75,73,68,57,51,50,70,68,71,79,85,72,74,72,66,57,48,53,75,75,67,69,79,78,85,86,64,57,53,59,82,85,83,88,90,92,100,91,81,75,66,67,97,91,99,88,84,87,91,88,81,76,72
US-GA,12,11,18,14,13,13,14,6,11,12,9,7,10,7,8,19,11,13,21,17,6,10,12,9,16,6,5,7,15,13,10,10,13,10,7,5,19,11,9,12,17,16,17,10,13,15,6,11,22,12,15,21,19,16,24,13,9,15,11,14,20,21,20,22,29,28,24,20,21,17,18,18,20,31,23,28,33,21,25,34,24,19,24,18,29,24,26,32,29,35,35,29,26,25,20,24,40,41,38,40,43,54,52,46,33,31,26,31,51,53,50,53,59,59,57,47,42,35,33,31,56,55,63,54,62,63,57,47,46,32,34,30,66,56,61,60,59,68,67,63,50,46,42,50,76,67,74,79,86,76,75,66,54,49,45,46,78,72,66,78,86,75,81,76,57,55,49,59,90,89,84,90,100,91,94,92,70,65,60,59,99,95,90,86,84,88,85,75,66,63,60
US-HI,31,58,0,29,26,54,27,25,24,25,0,23,0,0,18,0,34,72,36,0,15,0,28,14,31,25,43,11,16,11,21,10,14,14,18,18,24,26,11,8,14,7,11,20,17,38,16,23,9,22,30,35,12,19,37,25,33,28,21,21,17,21,19,22,22,24,31,30,35,28,32,39,27,55,40,25,33,27,39,40,36,26,17,15,34,31,26,20,27,29,43,43,47,42,33,28,35,33,41,32,35,38,54,40,45,55,30,40,30,44,39,35,44,43,50,53,63,46,43,28,57,47,41,47,50,45,67,62,51,48,46,45,64,67,53,64,60,45,56,60,60,54,45,43,54,73,67,83,61,61,65,73,76,58,41,52,71,64,58,59,60,70,70,85,75,70,67,57,76,79,68,74,61,83,75,90,80,81,63,56,74,96,75,81,77,74,80,94,100,70,79
US-ID,0,47,0,100,0,49,50,44,0,0,0,39,0,36,0,36,0,0,0,32,28,25,38,0,21,43,19,20,20,22,21,28,44,67,0,0,21,28,26,13,20,13,0,25,24,16,11,22,15,10,10,17,14,11,18,11,17,9,10,10,16,25,24,22,13,36,22,34,21,10,16,19,24,22,29,22,18,50,18,26,27,12,18,16,10,24,21,14,41,23,20,24,25,19,18,14,33,29,36,25,41,55,37,35,33,25,16,17,37,36,39,44,52,50,42,44,39,37,31,20,54,40,43,45,48,44,59,51,44,27,23,27,58,62,42,48,60,53,51,53,44,36,38,42,59,71,64,72,67,53,48,50,32,38,26,33,63,59,63,59,60,57,70,60,36,40,36,48,71,70,73,85,74,91,81,67,56,46,46,44,91,75,79,64,81,72,61,67,46,55,53
US-IL,33,7,8,8,11,7,15,7,17,8,9,8,8,7,9,14,13,12,9,9,9,9,9,4,9,12,16,8,17,15,18,9,12,10,8,9,12,14,13,9,13,13,14,14,6,14,10,13,17,13,14,15,17,18,14,13,10,11,14,13,18,20,24,20,24,23,24,21,21,19,23,17,29,26,29,24,33,24,27,26,22,19,16,15,26,25,23,27,27,31,29,26,22,21,22,20,34,36,36,34,44,50,52,41,38,31,24,32,47,45,47,49,54,57,51,50,39,29,33,27,52,54,56,49,52,57,49,48,38,36,32,29,64,58,57,56,55,57,62,55,43,43,43,45,75,74,73,77,79,68,65,59,54,44,38,44,77,68,67,68,85,73,74,67,57,49,50,60,79,80,83,80,88,90,97,74,66,59,58,61,100,84,93,82,80,75,78,69,54,62,61
US-IN,20,0,0,0,18,0,20,18,15,15,16,31,0,12,28,12,24,13,13,11,10,19,9,9,12,12,7,8,12,23,13,22,10,10,8,6,13,8,12,9,10,10,11,8,9,6,7,0,10,11,21,13,17,8,8,22,13,5,10,8,14,21,29,12,23,32,26,18,16,17,15,10,26,26,33,23,28,34,32,23,16,26,15,11,34,20,23,23,26,32,32,28,24,18,21,21,31,42,34,37,47,52,47,39,39,23,28,30,47,49,58,47,56,53,53,50,37,31,27,32,56,60,58,54,54,59,60,47,44,40,29,37,67,69,57,58,63,74,58,45,44,44,41,48,76,83,79,78,83,72,57,54,46,40,39,44,76,80,64,69,76,71,66,66,48,48,48,52,92,86,81,79,83,87,87,73,64,58,59,60,100,88,90,82,73,74,65,69,58,55,46
US-IA,31,0,39,28,55,32,0,0,0,24,26,23,41,20,36,30,19,21,29,19,17,16,16,15,14,21,31,13,39,15,22,0,16,11,16,11,25,20,9,15,13,16,27,21,17,8,8,8,10,17,7,20,20,9,13,22,19,6,21,14,30,19,24,20,26,17,26,22,25,20,17,12,36,21,31,23,22,24,40,18,27,20,11,32,32,33,32,27,34,34,27,30,23,33,25,19,56,47,35,41,48,42,62,43,27,27,26,26,42,43,50,52,48,48,51,49,37,31,24,23,66,55,53,49,53,68,66,48,41,26,29,25,75,65,56,75,58,67,68,61,46,41,43,42,67,60,75,75,77,74,70,59,44,40,40,43,84,72,62,66,74,75,81,72,47,37,42,61,90,81,80,94,86,87,84,76,52,51,57,55,100,78,85,80,74,71,77,65,41,59,61
US-KS,29,29,0,0,0,0,0,25,23,23,0,0,0,18,15,0,15,17,47,15,14,20,27,0,23,0,10,11,0,11,11,10,20,18,19,9,16,17,12,23,15,16,7,7,17,13,13,10,18,9,20,11,15,20,31,15,17,5,8,24,15,19,24,17,15,19,38,29,25,19,12,16,22,27,17,20,21,28,33,15,22,23,30,11,19,32,18,18,26,32,20,23,21,16,21,22,26,42,35,33,37,53,57,56,32,30,19,24,42,52,62,48,55,57,55,38,40,35,27,27,53,60,50,50,42,48,47,39,32,28,32,39,73,56,43,61,52,64,61,54,42,26,25,16,55,77,60,73,76,71,61,56,41,33,40,43,73,67,60,66,77,59,69,53,45,43,48,59,73,81,75,92,90,94,100,78,58,45,56,58,86,81,66,79,74,76,80,62,51,55,50
US-KY,41,38,0,0,38,43,0,0,0,37,37,0,0,30,26,0,0,30,0,26,0,23,0,22,0,19,34,19,20,17,11,9,22,8,16,8,14,7,13,26,17,25,10,13,16,15,13,10,16,15,15,9,18,15,14,16,10,11,18,12,13,15,12,13,18,14,21,14,18,12,17,19,25,27,24,23,22,34,41,24,29,21,22,14,23,18,24,28,29,35,36,22,13,18,28,20,36,47,36,43,36,55,50,40,39,29,29,37,54,54,51,50,49,60,46,52,42,31,35,23,57,53,58,45,59,59,49,55,39,29,34,35,61,68,67,57,70,64,60,57,44,47,33,42,77,75,68,72,70,61,62,49,47,42,32,43,84,73,64,68,75,69,62,65,58,47,47,48,83,76,63,82,82,83,83,72,75,53,49,62,94,100,87,74,80,71,59,61,46,53,56
US-LA,0,29,73,0,0,26,0,23,22,22,24,21,27,19,33,18,24,0,25,32,29,0,16,14,12,13,17,12,16,18,22,14,20,18,9,15,10,11,27,15,11,15,7,38,12,11,14,10,14,17,14,15,18,13,14,15,27,14,12,7,23,19,24,13,15,21,29,32,18,27,17,21,36,36,28,39,37,27,25,47,29,21,18,19,30,31,29,28,33,49,34,36,29,27,22,16,34,34,46,43,36,56,45,46,36,37,27,26,51,57,57,48,59,55,65,45,53,29,27,28,60,54,62,53,54,58,58,59,50,42,33,33,60,59,61,67,62,60,74,62,57,52,39,50,68,67,72,85,77,88,73,57,55,55,47,47,72,67,63,65,79,80,74,71,61,51,48,46,79,79,80,86,88,84,100,82,68,52,52,51,97,87,85,80,75,79,74,76,64,60,50
US-ME,0,0,44,0,32,0,0,68,0,0,34,0,0,0,22,27,22,0,28,0,0,0,21,20,18,18,15,33,16,18,17,31,15,13,13,13,16,13,11,23,15,33,12,12,11,10,10,20,23,19,22,27,36,20,14,16,12,12,8,8,26,20,25,13,13,17,27,21,10,21,14,21,26,28,17,27,30,43,29,26,24,19,10,14,39,22,20,24,25,22,19,31,19,15,12,20,40,30,23,43,32,53,58,34,31,19,23,38,31,48,46,35,39,50,44,47,39,38,33,28,61,59,48,39,54,63,46,45,25,23,38,28,47,61,68,61,75,46,61,54,32,41,44,42,59,63,78,70,77,63,55,48,45,36,29,40,62,62,63,74,53,68,69,63,47,50,46,58,74,87,79,80,76,74,83,63,51,51,46,53,88,84,80,100,67,62,64,70,45,56,49
US-MD,0,10,13,27,9,9,9,17,15,12,17,14,13,7,6,13,6,12,8,11,10,6,8,8,15,10,14,14,13,18,13,13,17,9,10,16,13,16,20,14,17,19,12,12,11,14,11,11,14,15,16,20,16,23,18,18,15,16,13,18,17,24,21,26,31,20,31,23,24,16,15,25,20,21,34,29,30,23,39,30,23,20,27,22,28,28,23,26,27,33,35,31,28,21,24,20,37,34,38,45,43,54,55,52,34,29,24,32,50,47,57,50,55,51,59,55,49,36,36,33,58,53,63,56,53,60,57,54,47,36,34,33,64,61,59,63,68,74,75,61,53,47,42,48,72,72,72,75,80,65,67,60,54,44,36,47,70,71,63,66,72,65,71,73,51,57,48,53,74,79,71,88,82,77,100,77,61,58,56,57,90,83,86,82,76,81,74,71,64,51,56
US-MA,5,10,13,15,14,6,7,12,8,7,6,12,8,11,13,9,10,3,8,10,9,10,10,13,9,10,15,18,17,10,21,17,9,9,8,8,12,15,8,12,14,17,16,17,11,12,6,12,12,15,14,16,16,16,19,15,15,9,15,12,20,21,19,21,22,27,25,21,17,21,19,19,20,28,29,26,27,28,32,27,28,21,15,16,27,26,30,24,28,32,34,28,29,21,22,27,40,39,45,40,52,51,62,50,43,34,32,33,54,54,60,54,59,61,64,54,44,37,35,39,63,66,63,59,61,61,62,52,47,42,41,36,68,63,65,66,70,74,65,80,51,46,48,50,78,78,81,86,93,77,79,63,55,47,44,51,80,79,74,77,84,78,76,70,66,54,56,61,92,91,79,89,97,97,97,91,72,57,60,60,98,88,100,88,86,83,83,80,67,65,63
US-MI,12,12,15,12,11,31,12,12,20,13,7,6,9,13,8,19,23,11,16,10,12,5,9,7,7,11,20,13,17,18,16,10,9,12,6,12,17,21,10,10,7,10,10,7,12,12,9,12,12,13,12,15,15,16,14,12,12,10,12,9,26,20,20,19,19,17,23,13,17,22,16,12,21,26,31,32,31,22,26,22,14,14,13,17,23,26,21,23,25,29,29,25,20,22,18,22,35,35,37,42,37,41,50,39,33,29,24,26,42,50,52,54,53,61,52,46,40,29,32,28,52,53,58,53,58,58,51,45,34,35,37,32,73,62,59,69,62,60,59,60,52,45,41,50,76,72,74,81,88,71,65,56,46,39,40,47,79,77,63,66,89,68,72,71,49,47,50,62,88,87,87,91,93,82,95,79,67,55,57,63,99,96,100,84,85,81,82,69,56,57,58
US-MN,12,23,14,16,25,11,0,16,9,18,14,8,7,23,11,11,11,19,22,7,9,6,12,14,13,7,16,22,10,13,14,19,14,7,7,12,10,18,14,10,15,14,18,15,11,7,5,9,13,14,16,12,13,23,9,18,13,11,17,12,15,16,18,26,26,24,17,23,16,15,19,19,29,25,32,28,27,22,18,25,22,17,14,11,28,32,22,28,22,32,33,28,22,19,22,19,30,37,43,39,43,45,56,44,31,31,28,29,47,55,55,57,62,62,56,52,41,36,34,31,58,59,61,57,60,67,56,51,42,37,35,36,78,68,70,69,66,71,67,61,39,47,44,49,72,73,81,80,84,80,70,53,50,45,43,49,75,79,71,70,86,77,77,70,58,50,52,63,87,93,90,96,91,87,98,85,65,64,57,63,95,100,98,90,78,76,79,76,60,65,65
US-MS,0,0,71,52,48,100,0,0,40,0,0,0,35,35,66,0,0,0,0,0,0,0,0,0,0,0,0,21,20,22,0,36,0,16,0,17,10,0,10,20,19,13,16,26,9,24,9,9,25,8,17,8,16,26,8,11,12,7,15,10,14,12,33,11,17,18,9,9,17,15,17,23,22,10,30,22,13,21,34,13,22,16,11,19,29,18,16,13,16,23,13,16,11,8,8,11,22,23,28,20,23,33,27,28,23,14,14,14,27,22,26,34,25,42,26,25,18,17,18,15,39,28,34,34,37,34,33,32,29,22,16,20,34,32,29,46,45,44,33,34,31,23,24,27,40,38,37,36,39,40,42,27,27,23,18,20,37,39,39,40,35,43,47,43,25,23,25,21,43,49,51,52,60,55,50,50,39,36,32,31,52,52,46,49,54,55,43,42,30,40,30
US-MO,24,25,15,0,11,11,22,0,23,10,0,9,15,12,7,12,21,14,9,16,14,8,8,9,13,7,12,9,12,11,11,8,15,10,10,9,16,13,8,10,10,15,15,12,7,11,7,10,8,17,8,12,20,12,19,18,21,17,8,11,23,24,19,22,29,21,25,22,23,19,20,16,17,32,26,31,25,25,27,24,23,19,23,17,27,26,24,26,23,29,29,28,20,24,22,18,39,39,41,39,42,52,51,47,41,31,25,28,52,54,52,50,56,61,59,52,37,32,28,27,56,63,60,55,54,54,60,56,51,32,34,31,69,58,59,58,62,67,62,57,46,40,38,44,82,66,77,76,84,77,69,54,50,41,36,50,78,73,67,68,75,74,76,66,49,48,44,56,87,81,86,85,99,87,97,72,61,61,55,54,100,91,86,74,74,70,73,74,57,57,54
US-MT,0,0,100,0,0,79,0,0,0,0,65,0,0,0,0,0,0,51,0,47,39,0,70,0,30,45,28,0,31,50,31,29,0,24,0,24,21,0,29,0,19,22,40,19,18,16,0,17,30,46,15,15,23,17,17,16,15,18,25,22,33,30,36,15,22,0,33,32,31,30,23,31,59,29,27,43,16,53,50,24,23,29,28,21,23,20,28,15,20,14,15,23,15,14,17,26,32,31,43,27,36,40,27,31,20,29,20,20,55,39,42,48,61,38,43,35,41,17,22,32,36,60,42,48,47,56,44,34,38,34,23,23,59,45,39,47,56,64,44,54,33,38,37,35,71,47,69,48,53,51,55,40,32,42,23,35,60,63,62,46,61,58,63,53,57,35,57,56,66,71,56,77,67,66,78,70,46,53,42,51,91,76,72,78,59,63,49,56,45,44,59
US-NE,34,100,0,32,30,48,32,0,0,27,27,24,0,23,20,44,0,22,22,0,0,17,0,0,14,29,39,0,14,22,28,12,18,0,11,11,10,0,14,38,14,10,13,14,19,8,16,8,7,18,8,11,15,9,0,8,20,20,15,0,16,14,21,29,35,15,15,24,21,9,14,10,19,19,29,20,16,15,12,14,23,15,14,10,29,22,28,14,25,17,30,34,18,19,26,19,35,33,36,36,31,39,37,39,21,21,14,20,44,42,40,38,43,53,46,38,27,34,21,30,52,39,47,47,59,53,51,33,37,27,16,30,64,58,43,53,57,54,54,41,37,39,34,42,75,56,70,68,72,64,50,45,52,37,30,37,56,62,66,61,61,60,61,53,40,37,40,51,75,76,71,70,67,69,84,56,48,43,42,42,72,76,73,71,62,66,65,52,45,45,49
US-NV,43,81,0,41,0,0,36,33,0,62,32,30,0,0,23,24,41,21,21,0,18,17,18,16,15,0,0,13,25,13,25,11,11,0,21,14,18,22,16,30,17,16,13,17,20,21,7,15,20,14,10,16,15,29,20,16,15,9,12,13,23,22,18,14,23,22,21,18,15,14,28,16,16,18,27,25,32,21,41,33,43,17,17,25,33,26,18,33,21,31,30,26,21,23,21,23,32,33,47,52,48,38,49,41,50,31,26,25,55,51,59,54,59,61,64,57,47,42,35,36,64,64,55,48,56,61,63,53,41,43,32,30,60,59,57,66,58,65,62,64,53,54,37,43,70,73,88,76,83,71,58,59,48,41,42,41,74,67,69,70,72,65,73,68,52,47,55,58,80,85,87,89,91,89,90,90,65,65,62,69,92,86,100,84,82,82,82,76,76,62,67
US-NH,32,0,0,0,29,31,0,0,0,26,0,0,43,22,19,0,18,0,0,0,16,14,0,15,13,28,0,13,24,13,0,37,0,10,21,17,0,10,0,0,18,11,15,19,18,8,8,0,40,8,24,15,8,17,17,13,8,7,11,8,21,7,13,14,24,14,22,35,20,12,10,12,25,32,6,21,16,17,23,13,9,14,11,6,22,16,12,16,19,25,29,18,20,20,18,19,23,15,37,24,32,42,43,27,24,23,18,21,34,28,58,45,47,41,47,39,43,22,23,21,45,48,60,43,48,50,37,27,27,40,28,32,77,38,50,56,70,63,63,57,36,33,43,41,54,57,59,54,75,76,62,63,52,35,24,43,58,64,52,65,66,74,56,42,48,33,42,41,65,72,64,67,77,79,75,70,54,53,59,56,78,79,100,71,63,62,74,74,46,50,48
